wallet_address,malicious,bitcoin_spent,bitcoin_received,total_balance,total_transactions
129w7Lzg7SwcBXcr12otpN2TmJMNJ8v6F8,False,0,22071,22071,1
12GoxhMbNb6Zp78rsine1UryTPG52BANrY,False,0,5540904,5540904,1
12GtJf52tUmeiiKWEwYPEsfJfx8Yk7C5f1,False,0,35902,35902,1
12HbPLyoXxw3aLujyVbmrbi1aR25YN8NJy,False,0,564,564,1
12WnGh9xoS9pwP5xmThZEikzBG7bBMjb7S,False,0,177168,177168,1
12uhenVMcD7GCB1eiDxJKYcCpnjTwvMHMd,False,0,5310,5310,1
12KwStwt7CdMpH62neQg2GXMByuEhhgDo5,False,19730000,20306475,576475,3
1146ef9g33HyjyaEK8r3q3VEsgVLraPz89,False,0,298000002,298000002,8
12qwRsetpyYzxUnFHznyFBPDdzdbpQw5sF,False,0,71231115,71231115,1
12VtojuDqSqb1a1gvaDxhyC8fEhrqxNzZ4,False,0,388576,388576,1
12nag78Hi8SFyCyYFuvp8Z4q1bv2s1uG4Y,False,20797784,25583257,4785473,5
12gDvjo8L5wk8RdXszNKhy24jVnoTzmZVK,False,0,10000,10000,1
12Z4BkGdSHoJVZFDpockT4g78vQdCsK9N9,False,0,14759,14759,1
12rQMgNAhKPKdpNSJN1ZWYUnLba6cSb8z5,False,0,5480,5480,1
12YjYScj5KBF8ZAAsQm9dsKyUe4HutkH9o,False,0,997876,997876,1
125WWy76jqM6og9kv52L22dRThSR8Da1ku,False,10571,41258,30687,4
12eTtLYqtABmaKp95UJZGJrFisWs7pH3B3,False,0,69997206,69997206,1
12gJ2D8T6MHcatAxZKrxjy9ooNMSJgYNgd,False,0,6000,6000,1
12V5uwqet4TmgtRn2g4kfh4BcsRoFqN6xF,False,0,100000,100000,1
115ZDf8WzkKD92cEuKhreTtr5eZVSTAUc9,False,18668,28713,10045,3
12qFrzD3tapZ3TYgQ3apM7C4YjaZ6k1AFe,False,0,5460,5460,1
1292zCWthsgAXTmQjzkS27SNXjgwRTQVpM,False,0,38191,38191,1
12YPjdkvkNnbBejwzpYi2H3ZZqD2oERPcu,False,0,272618,272618,1
12qqPCJpidh911PP2REhBp9rdK6fw8NKJ5,False,0,8000,8000,1
12CHvnXbzXLCbbjteN9Lte76bhQwQjfqbi,False,546,1092,546,3
12kxc8tToSy6K8XfxMouQJeZQSbKjuoj36,False,0,27040,27040,1
127SFvM9mKXavFAgdfwHDptHMJK3kLd8R2,False,1529051656,1529052680,1024,113
12W5LDUJ2jSWVZDToUDaTymsicah5s6d4o,False,0,6153,6153,1
12oLNgETk1EeiJ8zjLwkqGBdw6NEitdjV6,False,1850225,2183868,333643,5
12QJp41yyex8kb85K3NuufPzyUYDw9HHNV,False,0,26996,26996,1
11GkG3DNTsn5faW3gMS2cgaRttmK3qeL6,False,0,10047,10047,1
1134J3jfvUZ1VHWtrCRqUPsRtdxHcRMwQB,False,0,312473,312473,1
12ix51HWTQTvfA7QmBPMXNsGupvWZpNcg7,False,0,1000044,1000044,1
12bSw4vvsAgGCNzwF52YPQmNL5WQ7H3cfT,False,0,59501,59501,3
115qp5yQERZeubvgzCWj8yiALkM7M16kaz,False,0,10000,10000,1
12SG47gQLFAJ6rmUu8MNJ1rKXDWjmABpLo,False,0,5000000,5000000,1
122M6JVvrzemM8FDsWKeBRSCPfwFBgnFQJ,False,0,1180394,1180394,1
12osZygg5466jw5Ej48xWnkWpDa6Hq4Y7V,False,0,3845910,3845910,1
12X18Hiatus5ovJ1hxuWvyZkvaE4Xh68a8,False,0,1600000,1600000,1
12tbbB2bC8SquKVvjKSqiTagtosKZMu7KV,False,0,36864,36864,1
121jCyY7gcqMK5hGsfnpqVyumPeM16PHEK,False,0,95191,95191,1
12NgZPmGkQfiNYYTngr7xNmRCu6wGbJ8hC,False,0,28859,28859,1
12U9tVujQ6hxNKa8asn5V2FKk7YeqYpd5B,False,0,8274,8274,1
126rJSfcKW9Mr8QQDWrpE9h5WnAhCpfuFA,False,0,1000330,1000330,1
12JQFeUSCDYZGkyJ5YhidSyoB3ZZieRT2K,False,0,3488,3488,1
12ryXHzUK4u4BWbmBCdj2A4cTJbH84fT6j,False,0,928700,928700,2
12J9MeeXg3Qoww5mt3iF8okev9fDqGEsad,False,1000,2000,1000,3
126RxbghZt5tN3575LqjKGbd6kAK7FmZoa,False,3175600,3200000,24400,3
12gXMwqErH9pG8jpfbwQUBdedpUpGSRvuz,False,0,13121569,13121569,1
12anzmcN3cua4vHh2w2tuCXvQbShENffz1,False,0,3687,3687,1
12bHoriH5jnjoyYuAz6JB2rBK3YHSiLxjs,False,0,110973,110973,1
12PRtxAtncNcm6QtPGeWyPbtjnqVcDnvxE,False,0,564799,564799,2
12ewmz7sw73otFSk482htCguWRejELfv36,False,0,1000415,1000415,1
12J9tpZeJb6jm9tRWMj1dcD7RCrZBm31Mv,False,0,2500,2500,1
12WVyYJAyiaJYtQWoHbq6Uoi7gB3C3Sssf,False,0,203700,203700,1
12msPmuuSJcGHHqnAFc9aN9tun39g4NRYd,False,90000,90546,546,4
127B63Hh4oUWXEBH5qmQMNp69kMUhFfBTa,False,0,736394,736394,1
12HiLY5MRefe5QADffrbivs66CKy59qF7B,False,0,3484,3484,1
12K1rBW4xDwKPeibMxLexwHZDnSqCRyDDs,False,699719,800869,101150,46
12t6qX7GkaL1pQmsJcbiYGWqJgfsW24X19,False,0,7799,7799,1
12ukJPYMkwydPvk5An3d3KrwjVfVJVRjb9,False,10461,501092,490631,5
113o9JczvkZzsSjhDmPbRWaakGg1NBcUpL,False,0,285000,285000,1
12q4EX4ZDsjCk98Zd9cswLBcGL6qafa7qk,False,0,10000,10000,1
12Y4dTeiMDC1aQBQ4KCeC5aY3yHWZ3ZFtq,False,0,92486,92486,1
12HvLodPyNS8zbBAb1L91gru1nLkvQdRDi,False,0,7057,7057,1
12JzQiwVccP1MLVK5YveJKq1WPDEPjYgje,False,11228051,11259433,31382,115
129pxZj9CZHAYnYUbMm2PBEFAkfLmCNxgF,False,0,826912,826912,1
12iLsi3nURzLXUBtKiSsCR6Rfif5UB3G9A,False,0,2620,2620,1
12jRrfhe6t4dtmSuSq7SM72MgQLC1w1VrZ,False,0,11985,11985,1
12S3jyMaGYgcR1bV8iSffj31qT1CKhymkx,False,0,7419,7419,1
1266dmjDJohofsNXpuaudjE3u3wRfXzCfZ,False,4159099,4159100,1,3
12Te58o28bnRJSaWuf9GzgDzYvHv5jrgva,False,0,455733,455733,1
1294xP7iwKguKg12Z9x2tE6hsXceu8FMUL,False,14118656,14240000,121344,3
12k9DPYg7c2bGfLT3tTHtqa6FDsja7geap,False,0,3189,3189,1
125WdfrU2zN2SrEeJoG23fiMq4UwJZpFuh,False,0,371193,371193,1
12iUhGUZrPpvuxnwzVj7sXrNsSbwDeCxhz,False,0,34322,34322,1
112PPR8vUECanvwYmCtxdEHPMwifib89Bc,False,0,948000,948000,1
12qNxjnxTZETozxaRJDaXfah6513gvsZCC,False,4597829,4598670,841,68
124aLz658Z4mHGFsv4oDqeR95izfLu7rR4,False,0,399500,399500,1
12VvHnzWmvS3qgp5vPRWA1bYrQFqwF7TSi,False,0,5480,5480,1
122NbmXUvDhSPcq7Z9ZzhEaUDuHzVo9EMt,False,0,25093,25093,3
12sK2Je36tgTWccRRderzx4cHDYda9ZMPA,False,0,2169,2169,1
12DesK7bXYtnxDVBphz7MUYeJ7aus3GHoF,False,12401,22000,9599,2
122PPERtyNhtTFJaxtmguwRmdMBgQDpm1h,False,0,1247,1247,2
12HJfxHk6cjDhtT3jjZ2VtiotRF2nCxm6D,False,0,300212,300212,1
12ej6sda731AThwE6XTCFUYB9dUrotzmWW,False,0,248035,248035,1
12TGerbQ8DCpxNzNtcFkshgMA1n69aWyZn,False,316035490,316040404,4914,153
11x6YKoNWFnXCZ5VjY547vxXntY4E77Sr,False,14046,14592,546,3
12bX3FdeS5G64zkYPHZHnHh3uSNQk35n19,False,0,30582,30582,1
12JtKfUxFD2uHt3J8d9EzL6LCafSJdTnZc,False,0,6000,6000,2
12BXfNMYAcEpJapcHfN9ZiXr4J97VwXsm6,False,0,500973,500973,1
12pzujCRg2eJorD6M2ZmjqgiG5VX4dfksL,False,0,536914,536914,1
12mATfzXdDBsdXaKvqei4NVh5rmjp3BqQC,False,16491,19796491,19780000,3
12QwxUNqqHYRaEPP8QYwo9ZG4iHVrjD3Q3,False,0,1442995,1442995,1
12KAjNW74Z39kCynuqHyjq4zUxUTxxWCob,False,0,8130,8130,1
12uc7F691j5H3eorocpYP6hk1CKagVUP1Y,False,0,1413,1413,1
114xKkKVuWZTZTMxUazEfWmZGU1F5opYCC,False,0,1395959,1395959,1
11A6cCeDHkF7iSumgnyyVcumwqQEpDYZF,False,0,471146,471146,1
128HqqCZ7hN5nJQwAtmBTP3o5TmdwdLkwz,False,0,5502402,5502402,1
12ZntSDSKAboN39Zbw93AtB5a3Ry98BNnw,False,0,13111,13111,1
12Acj6S8qUVYkqeyoxm3W44jTGgfHhYFMk,False,0,835892,835892,1
12G35G4vCCmZw4GraoMpX1FkriGhXj9GKZ,False,0,7912,7912,1
112FoRuN2diwa54ykCimH3JPeKK7rx5DwG,False,0,1,1,1
12nsyKr1hJStGJMSm6oonMQPvBK1FWZXAn,False,2519759157,2520074582,315425,763
12QnGcPCri47NjdszK9oYTQmZC37hU9Ean,False,121800000,121800001,1,3
121yB7yKd1m32uz9osSGyosxD4DoUs8yXn,False,2658487220,2664133721,5646501,29
12RhJAFGuCwy9eNxtHREzD8QUQQXgKSe8N,False,0,1000,1000,1
12kcMKN5Wavr4ZV1o3jLmGaEgnced6pvMZ,False,0,225870,225870,1
113J3bBRaed3sJpMc21deErMrdL4YcQyTM,False,70343584,70494952,151368,8
12o16pS2hm2ikunqLnNzrqdNdAPijMcq6a,False,0,190709,190709,1
12s39wC6yaPtRiK53MRhRxRrUNFpRSJi2L,False,0,40000,40000,1
12Q2Xd2JXwkhdQgFqFfatZsdvrYKCgHzJR,False,0,995690,995690,1
12F9FZ9iFzFerE3otV1cfVfiExHPXhk5Lj,False,0,116000,116000,1
1279QxvhYArCXJL2vUrhyoBSLfiYguWqgk,False,0,50000002,50000002,3
125ebHGJ56u7AjY331zBgdt3f8JHy2HJK9,False,0,1651,1651,1
12CZgt22HWfTgVN4ub6nQedXzDWzKMY6vn,False,0,2607,2607,1
12qSNX3D62nh4dSZDi6SPdeTJRqsfmkZXz,False,0,15430,15430,1
124c28pRtVxBPDH1C5hUjxbpv7Lxcrv1bi,False,1798282,1830282,32000,10
12SDrshqJhMJwaf1Zd1w3snLsZMioCuqAx,False,0,605299,605299,1
12sVRbu6MfRRGTTtVdA4TX7twGWpLJrHGP,False,2994,500546,497552,3
12dow6sNXUaXrWS35rBV9tB81ADapHWpTA,False,0,64375,64375,1
12Fou3sZ4zVSeH4eL1sR2bM1MgYh5gNnB9,False,23551206,23551207,1,5
115QUAHPNbq4gbpxV8Wg3WWvGSXLKjcK7g,False,0,291961,291961,1
12bx1HT1ujsQyTChTLZm3Zgbo36CKZXrCt,False,0,16681,16681,1
12Fztz46f46huwGVT5kcYLodiVUbE3EELs,False,0,1006148,1006148,1
12eE9tMkhtMcCqS6epqBP33ejzkLm8Pn8i,False,0,45312,45312,1
123tg8Cg6SipJFZ6GZfbEeRupQQiQEubGk,False,0,1680000,1680000,1
12uFMieYrgAUkb9NWwzdpiNkevtHtVTiBx,False,0,9620,9620,1
12EKwhs7EmrgXzeUBycVJAo3HDhmLDceHg,False,0,2500,2500,1
12nitNCrzTyf4sZFFKGsexdAHCKRMU5co6,False,0,50000000,50000000,1
12CVKaHXvyi8VjezVcrDrKiuidyNXj43aX,False,0,8100000,8100000,1
12TEJxghmENWtyLTwfD8pjGXKZtBaGAh5R,False,25170000,25180000,10000,3
12a6DWR5SxRDKWkFpaZnikS5n2FBVueag6,False,0,357000,357000,1
12jNuY6PwtVnjHVuGyKMXKcYgkntSPkWYw,False,0,253206,253206,1
12ZDrtkZuoCNF8ebYmcjYxn7mWyhU4i48F,False,0,1682,1682,1
12rUaon1rTPjcYMRdN3oP58zqGxghucxHs,False,0,611246,611246,1
12SCP7b9eKAfXTFrwNt87LBpwoUz1szjfT,False,0,14236748,14236748,1
12mTy3wfnCPfs48BdB2gC4GddEr4D8KaJ3,False,2615900,2615900,0,2
12pCsJ6GhBFB7GWwyZjhr674Wj2vp3G1ML,False,0,2500,2500,1
