wallet_address,malicious,bitcoin_spent,bitcoin_received,total_balance,total_transactions
111K8kZAEnJg245r2cM6y9zgJGHZtJPy6,TRUE,100050000,100050000,0,2
1123pJv8jzeFQaCV4w644pzQJzVWay2zcA,TRUE,100000000,100000000,0,2
112536im7hy6wtKbpH1qYDWtTyMRAcA2p7,TRUE,200000000,200000000,0,2
1126eDRw2wqSkWosjTCre8cjjQW8sSeWH7,TRUE,71200000,71200000,0,2
1129TSjKtx65E35GiUo4AYVeyo48twbrGX,TRUE,200000000,200000000,0,2
112AmFATxzhuSpvtz1hfpa3Zrw3BG276pc,TRUE,50000000,50000000,0,2
112E91jxS2qrQY1z78LPWUWrLVFGqbYPQ1,TRUE,100000000,100000000,0,2
112eFykaD53KEkKeYW9KW8eWebZYSbt2f5,TRUE,100990000,100990000,0,2
112FTiRdJjMrNgEtd4fvdoq3TC33Ah5Dep,TRUE,80000000,80000000,0,2
112GocBgFSnaote6krx828qaockFraD8mp,TRUE,50000000,50000000,0,2
112gXL4AeJ62DX3htuLhBc3MtY5U6X5J28,TRUE,100000000,100000000,0,2
112nEBUadWiMxzUUASNZpQ9AvePtrJVuca,TRUE,108560000,108560000,0,2
112Ns49UobQn1cX1G1axs1cmGvjFBxVxvf,TRUE,113976642,113976642,0,4
112vq2Wt7Mo8RD5jCKMR2PFNxAoT17ffxD,TRUE,56000000,56000000,0,2
112wED5uHhY1aiSaWAzgeMDaCKFcCvj9Pn,TRUE,360000000,360000000,0,6
112wjYgWapZU8gTPR7hLoKq8iEh496vKxP,TRUE,550000000,550000000,0,2
1131P1hjj7h9NinHRCkNwGFifK4gGoe5EF,TRUE,500000000,500000000,0,2
1132fapAqQVQJjZipWzJPKYxF4LNSDEvuc,TRUE,200000000,200000000,0,2
1136MFiqBmoVWpqWr1okF3D5XMabwVLB5z,TRUE,101000000,101000000,0,2
11382a48qWatCiSqVNBFzuKN91M7Dcdev,TRUE,50000000,50000000,0,2
113aZAjq9fkTY3qeBE4C3ojrXyQFKg5Nnd,TRUE,200000000,200000000,0,2
113bivxFjurkAoWEfVeJ4jawK9fQtn3yRF,TRUE,101348619,101348619,0,4
113DQh713pR9rsEWTgae9DGfVzY5f17Sbj,TRUE,200000000,200000000,0,2
113ESVqntvYprqQbsPN6tEmtE1bB44uokS,TRUE,120000000,120000000,0,2
113i99LGHX2ZzBed1SaMpnqb6ruRgbBwMc,TRUE,184897082,184897082,0,8
113jYnToJJmGiLyQZMpyCZTYSb5GXFZ4tN,TRUE,80000000,80000000,0,2
113M2D2P1Riyke3CHaBBF14F7AB7pQ8Dz3,TRUE,50000000,50000000,0,2
113nP4t4ayne9A5MkZEa72GEBgkqLXZGkE,TRUE,85140000,85140000,0,2
113NT2GAbQRzT5qLfo9ovmxVuPwDbchoiV,TRUE,104580000,104580000,0,4
113QcTeGajE3YMKU1JD7QMRgkuKFFsHkiG,TRUE,50057953,50057953,0,2
113U6pALuJkFE3mTmMWzBfYk5AUjDDfvXC,TRUE,78580000,78580000,0,4
113uHEU5oFygrXY6GR43DrJmy4tFQ1Gcdr,TRUE,168320000,168320000,0,2
113xQVVssnSTggjXtntNy4RvZ1rs46ehub,TRUE,81700000,81700000,0,2
113y9h8ch6wASL3DE4WDysDVxXa4LsNkH3,TRUE,400000000,400000000,0,2
1143t96LASL6q6UMAJKQKd5BLkeV6Q19ys,TRUE,300000000,300000000,0,2
11445ybEvoBuFCnaYGni4KQDgKRZ3huiJX,TRUE,50000000,50000000,0,2
1147GrWQh7yW91kV65QP8BhFiGQQKuW3n5,TRUE,199990000,199990000,0,2
114BqWjEYTXuVzFAEc4qdz72j3muFPMSfH,TRUE,100020000,100020000,0,4
114DARz595UwHRrWjR2mufuUCBifgHTHEw,TRUE,50000000,50000000,0,2
114eDjVXXAQKVEnnJLTrCmTDzh7WSsTGz1,TRUE,300000000,300000000,0,2
114ey7aLiid4RDdCYEp3GjAtWX3oRz7eqj,TRUE,100000000,100000000,0,2
114gGmini5G9hEwEkWtKXoQqT1D6S5AJvU,TRUE,120980000,120980000,0,4
114LhnRzAbZPniMmdBwqQ6QMYjxYFX8Qxb,TRUE,60050000,60050000,0,2
114ngXYgYz3gLAaumxKUZM42KR4HzsDdjn,TRUE,300000000,300000000,0,2
114ocYENUbxs7EsJLCiDMeGzYtVzjAZbeZ,TRUE,125000000,125000000,0,2
114omc8xdDgEfraC3Q7bEbujc6BRy9VsVJ,TRUE,40000000,40000000,0,2
114pDLxwCMHCrWSWinhy6ij7aZFaAssEFs,TRUE,100000000,100000000,0,2
114pv9hdWsQqj8eNNm2a4rJ2eiCSatXJmg,TRUE,80000000,80000000,0,2
114SCq4wvHgH4NZ2DdaXyqBAtBSxpVB8Wo,TRUE,31820000,31820000,0,2
114sRec7rRdyacs5RVY41WVjLmqiFMVVRm,TRUE,100000000,100000000,0,2
114T9gEoJ7G9LGoAL9wDT1nBGGQm3hiSJy,TRUE,410000000,410000000,0,2
114TqaapeRvrQzuwsxQHxLWsg7uYWewx3c,TRUE,390299833,390299833,0,48
