wallet_address,malicious,malicious_type,bitcoin_spent,bitcoin_received,total_balance,total_transactions
1KjxgUYw2QC53ZiGeAG9uohcSSRUWsSsQA,TRUE,99,56848647,56848647,0,3
1Bb446YF8AZK3nKchPJQ3J5KwPGRHRARJ5,TRUE,1,203843018,203843018,0,22
1GYNGZLEUGkkQjHo19dHDnGE87WsAiGLLB,TRUE,1,93094968,93094968,0,14
1NQrcoefW8Ky33oEMC57vqD6KuFY4h7crS,TRUE,1,15520362,15520362,0,5
1DtBY4zD7cK35fpbNecpxSaEuEmfu9uyVG,TRUE,1,11113548,11113548,0,2
1Kq1ZqJHmduVgACjDQhCX4mPyyJkEUZytE,TRUE,1,73209874,73209874,0,9
1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,TRUE,99,1.06E+15,1.06E+15,1.06E+12,714147
12DA8mpQCnTB1cEHLPFU7ckP44zN5Xmgu3,TRUE,1,153904021,153904021,0,22
13Bh4xUP37EQgpEdkhZWYuLKMLGfmp1zym,TRUE,1,13904181,17868681,3964500,9
1MfLPJxzyDZr33WK79BKzAqsuvFnzi9TK1,TRUE,1,74867195,74867195,0,9
18firbfmx4KoNeM4cBhcDdXgp2Aiduo43G,TRUE,1,93472170,93472170,0,32
1MuQXHNBcAbYyMvMsvHfnXdymeuoLAK14Z,TRUE,1,37842439,37842439,0,14
16yJ7MQWTFNjsSvAJJMkjPpnJbAsGLYhW7,TRUE,1,52050832,52050832,0,14
1DcW5BySbyQT6PnwD6byCcAGiyLBM9Kvoo,TRUE,4,5140963,5140963,0,2
16acVRG2RdMDSmdVuve1N1bYBFu8Rr3iii,TRUE,1,51896787,51897787,1000,13
1LXxZyP7CKybaXA6jELu5YJ6UQzbdZz8RP,TRUE,1,102188739,102188739,0,28
1LEJuBuc8bt6quD3TCGeX8o1EQ29qLErCc,TRUE,1,14790163,14790163,0,3
1Btsoam4QDyvmxp9fPUN3Ce8D2DHeY4biz,TRUE,1,55840367,55840367,0,10
1DxiWwJrJFRrMiwzddx9Gfkjdk2MP5AcjA,TRUE,1,52379594,52379594,0,27
144CDUeBhcwoEUmA2B1cL5p5PqZrhJWCCt,TRUE,1,224736076,224736076,0,32
115i2xierq98FX3iWmj7yXog4bwQx3ACVg,TRUE,1,36131860,36131860,0,18
1LK8rRhBTekN3Uxh8ib83FfmvMsX6EQnqL,TRUE,1,85340026,85340026,0,36
1GL9JtXPRTPetxgiJ8UcgrEECp12spD4tt,TRUE,1,173956829,173956829,0,55
1Pau7aAFNZ5rvogxMnfP37zDAzoeipCqPP,TRUE,1,171950922,171950922,0,27
19i2Zn4QMg5y9gDTRfLyPXaw2zY3ikPzqg,TRUE,1,121250887,121250887,0,18
