wallet_address,malicious,bitcoin_spent,bitcoin_received,total_balance,total_transactions
12kt1XRN4fEjZYb2d5sdMQuFY354jPeUBG,FALSE,0,1014427,1014427,1
122MvWAve3rh7PmJf6cjdKJTWdcjo3oRgK,FALSE,0,193424,193424,1
112J5z2qDMm4EkMXfAdL3EmtDpmRKc9jMo,FALSE,0,546,546,1
1135ZmfarGGgjYF1BBsLgRq1V1S2fygTxg,FALSE,0,3677865,3677865,1
113j7bsWe7bVA3rDNq8LeNJwDF1RBeAGQn,FALSE,23534,23534,0,2
112J7nQ2TVRg7YHqbDtmUVadXP5tJ6Zeap,FALSE,0,27902,27902,1
111111111BumHKnZ2jXw2mbmHrRwJ3h,FALSE,0,5500,5500,1
112ZX38Gza2Dp53SJTFEvCtf6djXndLAYY,FALSE,0,620000,620000,1
113ezDDVmR1dAjfUUJMkVfixJfjXNj46ST,FALSE,0,360000,360000,1
112tKALrhCvtCmRyZW7WcZXbEzk73qKe4K,FALSE,546,1146,600,2
113AKpywqQ3tEQA7fDNxKcmwHcqqT4LPXG,FALSE,0,5310,5310,1
113LKgxVZj71PNQWPnRUKq5Ray2dn1XBbq,FALSE,1185863,9814660,8628797,19
112H9MBWBTN7RJBDa5Fup13Zy3p33ZHCem,FALSE,0,49999000,49999000,1
1126qTvJbXSutn4kje7MdXHjhTa5azrNji,FALSE,0,3000,3000,1
112xKJ9a4FnrsjQitnhJnsBqHYwyPoJviZ,FALSE,0,15475,15475,3
113wwuDu4KKYc4Fj28kmEfacwuoZH9FsUa,FALSE,131053030,132313938,1260908,6
1133VKCKapWXCdio32FQsETC9npUJyXsZr,FALSE,0,546,546,1
113GuWXghXUy3DHzcmMigdyGGbo9LVT3zj,FALSE,86649,111758,25109,11
112ECwJiw5J8b22G579QwXKfYdiNPUoDha,FALSE,0,146185,146185,1
112LdJUnYCxdjd1oynTNRDHiGGzfJYma4R,FALSE,0,1308441,1308441,1
112vtt4rh4qCSzLN8iUnakRhgYLSt8gU49,FALSE,24612165200,24612238900,73700,8
113A69ddQVjrQXM8q6HBEeNb6WSA6MGvF8,FALSE,0,140284,140284,6
113h7SPvR7TKT9aNuuCBWxVWXNvdzY4MeZ,FALSE,0,23970,23970,1
112TeQnKqbc8Us1tCgXmrwXvhkd3cM5Pq8,FALSE,0,1000198,1000198,1
113BBZr3V872pU8udoKGnAmHeEVShNxDvA,FALSE,0,10000,10000,1
113ULxbBwJ3VrbsRpaqB49vpCtq32Tv854,FALSE,2398333,2404974,6641,8
112U2BWo9V32wDY6m1MHfaxJkT4cd1jabG,FALSE,0,69013,69013,1
112bQnhmAtdhDcv3q8tPPhBwXz1Ba2BTeS,FALSE,0,300000,300000,1
112gGaUswVTGjajnxeZ7PmYL5cjQfzdQD4,FALSE,190024000,201113400,11089400,25
112hpsNmQj6kRZcEt1YeYygXzXvXRNp4Kw,FALSE,5460,7098,1638,14
113tg8FLea8XK3uDUzrk3HdCuTUmGoBYD5,FALSE,0,202205,202205,1
113PFAF4ih3X5AnsuEKxFfcNqVoweUtqyR,FALSE,0,549,549,1
1129CeRxkvqgihm19iVRmJNasWPFhZhrQU,FALSE,105430,110860,5430,3
